# G(2) Function
# 2025-11-20 17:23:44
# Histogram Width = 10 ns
# Events Ch. 0 = 2.178e+07 
# Events Ch. 1 = 2.286e+07 
# Integr. Time = 46.9 s
# G(2) Norm = 106.2 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-7.7321603E-009 ;  9.2314500E-001
-7.7223851E-009 ;  1.0927030E+000
-7.7126100E-009 ;  9.3256500E-001
-7.7028348E-009 ;  1.0550230E+000
-7.6930596E-009 ;  1.0079240E+000
-7.6832845E-009 ;  1.0267640E+000
-7.6735093E-009 ;  9.9850400E-001
-7.6637341E-009 ;  1.1209620E+000
-7.6539589E-009 ;  8.9488600E-001
-7.6441838E-009 ;  9.5140500E-001
-7.6344086E-009 ;  1.1021230E+000
-7.6246334E-009 ;  9.2314500E-001
-7.6148583E-009 ;  1.1586420E+000
-7.6050831E-009 ;  1.1021230E+000
-7.5953079E-009 ;  9.5140500E-001
-7.5855327E-009 ;  9.7966500E-001
-7.5757576E-009 ;  8.4778700E-001
-7.5659824E-009 ;  1.0267640E+000
-7.5562072E-009 ;  8.1010700E-001
-7.5464321E-009 ;  9.9850400E-001
-7.5366569E-009 ;  9.7966500E-001
-7.5268817E-009 ;  9.8908400E-001
-7.5171065E-009 ;  1.0456040E+000
-7.5073314E-009 ;  1.1115420E+000
-7.4975562E-009 ;  1.0550230E+000
-7.4877810E-009 ;  9.3256500E-001
-7.4780059E-009 ;  9.9850400E-001
-7.4682307E-009 ;  8.7604600E-001
-7.4584555E-009 ;  1.0079240E+000
-7.4486804E-009 ;  1.0456040E+000
-7.4389052E-009 ;  9.7966500E-001
-7.4291300E-009 ;  1.0832830E+000
-7.4193548E-009 ;  9.3256500E-001
-7.4095797E-009 ;  9.9850400E-001
-7.3998045E-009 ;  9.2314500E-001
-7.3900293E-009 ;  8.2894700E-001
-7.3802542E-009 ;  9.8908400E-001
-7.3704790E-009 ;  1.0267640E+000
-7.3607038E-009 ;  1.0267640E+000
-7.3509286E-009 ;  1.0738630E+000
-7.3411535E-009 ;  9.6082500E-001
-7.3313783E-009 ;  1.0079240E+000
-7.3216031E-009 ;  9.4198500E-001
-7.3118280E-009 ;  8.3836700E-001
-7.3020528E-009 ;  9.7024500E-001
-7.2922776E-009 ;  9.6082500E-001
-7.2825024E-009 ;  1.0456040E+000
-7.2727273E-009 ;  1.1115420E+000
-7.2629521E-009 ;  8.4778700E-001
-7.2531769E-009 ;  1.0079240E+000
-7.2434018E-009 ;  9.4198500E-001
-7.2336266E-009 ;  9.0430600E-001
-7.2238514E-009 ;  9.5140500E-001
-7.2140762E-009 ;  8.3836700E-001
-7.2043011E-009 ;  9.8908400E-001
-7.1945259E-009 ;  1.1586420E+000
-7.1847507E-009 ;  1.1209620E+000
-7.1749756E-009 ;  1.0173440E+000
-7.1652004E-009 ;  8.2894700E-001
-7.1554252E-009 ;  9.9850400E-001
-7.1456500E-009 ;  1.2434200E+000
-7.1358749E-009 ;  9.4198500E-001
-7.1260997E-009 ;  1.1021230E+000
-7.1163245E-009 ;  9.2314500E-001
-7.1065494E-009 ;  1.0456040E+000
-7.0967742E-009 ;  8.4778700E-001
-7.0869990E-009 ;  7.7242800E-001
-7.0772239E-009 ;  1.1209620E+000
-7.0674487E-009 ;  1.1209620E+000
-7.0576735E-009 ;  1.0738630E+000
-7.0478983E-009 ;  1.0927030E+000
-7.0381232E-009 ;  1.0456040E+000
-7.0283480E-009 ;  8.4778700E-001
-7.0185728E-009 ;  9.8908400E-001
-7.0087977E-009 ;  8.8546600E-001
-6.9990225E-009 ;  9.4198500E-001
-6.9892473E-009 ;  1.0832830E+000
-6.9794721E-009 ;  1.0361840E+000
-6.9696970E-009 ;  8.4778700E-001
-6.9599218E-009 ;  9.7966500E-001
-6.9501466E-009 ;  9.7024500E-001
-6.9403715E-009 ;  1.0173440E+000
-6.9305963E-009 ;  1.1492220E+000
-6.9208211E-009 ;  1.0267640E+000
-6.9110459E-009 ;  7.7242800E-001
-6.9012708E-009 ;  8.1010700E-001
-6.8914956E-009 ;  9.2314500E-001
-6.8817204E-009 ;  8.8546600E-001
-6.8719453E-009 ;  1.0550230E+000
-6.8621701E-009 ;  9.9850400E-001
-6.8523949E-009 ;  1.2151610E+000
-6.8426197E-009 ;  1.0267640E+000
-6.8328446E-009 ;  1.0644430E+000
-6.8230694E-009 ;  1.2151610E+000
-6.8132942E-009 ;  9.3256500E-001
-6.8035191E-009 ;  1.0738630E+000
-6.7937439E-009 ;  9.8908400E-001
-6.7839687E-009 ;  8.4778700E-001
-6.7741935E-009 ;  8.8546600E-001
-6.7644184E-009 ;  9.6082500E-001
-6.7546432E-009 ;  1.0267640E+000
-6.7448680E-009 ;  8.7604600E-001
-6.7350929E-009 ;  1.0267640E+000
-6.7253177E-009 ;  1.0079240E+000
-6.7155425E-009 ;  8.7604600E-001
-6.7057674E-009 ;  1.0267640E+000
-6.6959922E-009 ;  1.1021230E+000
-6.6862170E-009 ;  1.0361840E+000
-6.6764418E-009 ;  1.1680620E+000
-6.6666667E-009 ;  9.2314500E-001
-6.6568915E-009 ;  1.0079240E+000
-6.6471163E-009 ;  9.7966500E-001
-6.6373412E-009 ;  9.6082500E-001
-6.6275660E-009 ;  9.7966500E-001
-6.6177908E-009 ;  1.0644430E+000
-6.6080156E-009 ;  1.0738630E+000
-6.5982405E-009 ;  1.1021230E+000
-6.5884653E-009 ;  8.9488600E-001
-6.5786901E-009 ;  9.3256500E-001
-6.5689150E-009 ;  1.0738630E+000
-6.5591398E-009 ;  1.1398020E+000
-6.5493646E-009 ;  1.1303820E+000
-6.5395894E-009 ;  1.0927030E+000
-6.5298143E-009 ;  8.3836700E-001
-6.5200391E-009 ;  8.5720600E-001
-6.5102639E-009 ;  9.4198500E-001
-6.5004888E-009 ;  1.0173440E+000
