# G(2) Function
# 2025-11-20 16:08:26
# Histogram Width = 10 ns
# Events Ch. 0 = 8.97e+07 
# Events Ch. 1 = 8.287e+07 
# Integr. Time = 00:02:46 h
# G(2) Norm = 445.7 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-7.2238514E-009 ;  9.1089100E-001
-7.2140762E-009 ;  1.0567230E+000
-7.2043011E-009 ;  1.0118520E+000
-7.1945259E-009 ;  9.6024900E-001
-7.1847507E-009 ;  1.0320440E+000
-7.1749756E-009 ;  9.3781400E-001
-7.1652004E-009 ;  8.9518600E-001
-7.1554252E-009 ;  9.6024900E-001
-7.1456500E-009 ;  9.6024900E-001
-7.1358749E-009 ;  1.0342870E+000
-7.1260997E-009 ;  9.9839000E-001
-7.1163245E-009 ;  1.0208260E+000
-7.1065494E-009 ;  9.5127500E-001
-7.0967742E-009 ;  9.7595400E-001
-7.0869990E-009 ;  9.6922400E-001
-7.0772239E-009 ;  9.7819800E-001
-7.0674487E-009 ;  1.0320440E+000
-7.0576735E-009 ;  1.1173000E+000
-7.0478983E-009 ;  9.7819800E-001
-7.0381232E-009 ;  9.3332700E-001
-7.0283480E-009 ;  1.0006340E+000
-7.0185728E-009 ;  9.7819800E-001
-7.0087977E-009 ;  1.0522360E+000
-6.9990225E-009 ;  1.0006340E+000
-6.9892473E-009 ;  1.0522360E+000
-6.9794721E-009 ;  9.9614700E-001
-6.9696970E-009 ;  9.6024900E-001
-6.9599218E-009 ;  1.0477490E+000
-6.9501466E-009 ;  9.8717200E-001
-6.9403715E-009 ;  9.9839000E-001
-6.9305963E-009 ;  9.5576200E-001
-6.9208211E-009 ;  9.3332700E-001
-6.9110459E-009 ;  1.0298000E+000
-6.9012708E-009 ;  9.3781400E-001
-6.8914956E-009 ;  9.4903200E-001
-6.8817204E-009 ;  9.4678800E-001
-6.8719453E-009 ;  1.0387750E+000
-6.8621701E-009 ;  1.0253130E+000
-6.8523949E-009 ;  1.0028770E+000
-6.8426197E-009 ;  9.3108300E-001
-6.8328446E-009 ;  9.1537800E-001
-6.8230694E-009 ;  1.0499920E+000
-6.8132942E-009 ;  1.0185820E+000
-6.8035191E-009 ;  1.0724280E+000
-6.7937439E-009 ;  9.3557000E-001
-6.7839687E-009 ;  9.7146700E-001
-6.7741935E-009 ;  8.9967300E-001
-6.7644184E-009 ;  9.7146700E-001
-6.7546432E-009 ;  9.7146700E-001
-6.7448680E-009 ;  1.1015950E+000
-6.7350929E-009 ;  9.3332700E-001
-6.7253177E-009 ;  9.4678800E-001
-6.7155425E-009 ;  1.0589670E+000
-6.7057674E-009 ;  9.6249300E-001
-6.6959922E-009 ;  1.0096080E+000
-6.6862170E-009 ;  9.6922400E-001
-6.6764418E-009 ;  9.7595400E-001
-6.6666667E-009 ;  9.9839000E-001
-6.6568915E-009 ;  1.0028770E+000
-6.6471163E-009 ;  9.6249300E-001
-6.6373412E-009 ;  9.8492900E-001
-6.6275660E-009 ;  9.7371100E-001
-6.6177908E-009 ;  1.0185820E+000
-6.6080156E-009 ;  9.9165900E-001
-6.5982405E-009 ;  9.6922400E-001
-6.5884653E-009 ;  9.5351900E-001
-6.5786901E-009 ;  9.2883900E-001
-6.5689150E-009 ;  9.2659600E-001
-6.5591398E-009 ;  9.8492900E-001
-6.5493646E-009 ;  9.4903200E-001
-6.5395894E-009 ;  1.0253130E+000
-6.5298143E-009 ;  1.0006340E+000
-6.5200391E-009 ;  1.1128120E+000
-6.5102639E-009 ;  9.0640400E-001
-6.5004888E-009 ;  9.5576200E-001
-6.4907136E-009 ;  9.8268500E-001
-6.4809384E-009 ;  1.0298000E+000
-6.4711632E-009 ;  9.7371100E-001
-6.4613881E-009 ;  9.9390300E-001
-6.4516129E-009 ;  9.9390300E-001
-6.4418377E-009 ;  9.9614700E-001
-6.4320626E-009 ;  8.9967300E-001
-6.4222874E-009 ;  9.8044200E-001
-6.4125122E-009 ;  9.6473700E-001
-6.4027370E-009 ;  9.1986500E-001
-6.3929619E-009 ;  9.6249300E-001
-6.3831867E-009 ;  1.0230690E+000
-6.3734115E-009 ;  9.9614700E-001
-6.3636364E-009 ;  1.0253130E+000
-6.3538612E-009 ;  8.9967300E-001
